hospital_id,hospital_name,city,tier,speciality,rating,nabh_accredited,type,cost_index,pincode,latitude,longitude
1,Siddhivinayak Cardiology Hospital,Mumbai,Tier-1,Cardiology,3.4,True,medium,0.432,400093,18.941497,72.903833
2,Lokmanya Gastroenterology Super Speciality Hospital,Mumbai,Tier-1,Gastroenterology,3.5,False,medium,0.404,400005,18.931522,72.860996
3,Nanavati Gynaecology Clinic,Mumbai,Tier-1,Gynaecology,4.6,True,high,0.927,400050,19.129021,72.82055
4,Lilavati Dermatology Medical Center,Mumbai,Tier-1,Dermatology,3.7,False,medium,0.576,400101,18.984372,72.85468
5,Hinduja Cardiology Healthcare,Mumbai,Tier-1,Cardiology,3.7,False,medium,0.55,400070,18.96411,72.946335
6,Kokilaben Dermatology Institute,Mumbai,Tier-1,Dermatology,4.2,False,medium,0.63,400020,19.045058,72.886085
7,Hiranandani Orthopedics Clinic,Mumbai,Tier-1,Orthopedics,4.6,True,high,0.877,400005,18.946337,72.918124
8,Gurunanak ENT Clinic,Mumbai,Tier-1,ENT,3.3,False,low,0.068,400002,19.096755,72.894675
9,Shushrusha General Medicine Clinic,Mumbai,Tier-1,General Medicine,3.8,False,medium,0.667,400002,18.928405,72.813763
10,Balaji Ophthalmology Medical Center,Mumbai,Tier-1,Ophthalmology,3.9,True,medium,0.412,400101,19.167271,72.8193
11,Wadia Pulmonology Medical Center,Mumbai,Tier-1,Pulmonology,4.2,True,high,0.739,400002,19.181883,72.862675
12,KEM Pediatrics Hospital,Mumbai,Tier-1,Pediatrics,3.8,True,medium,0.67,400002,19.128434,72.936663
13,Siddhivinayak Urology Super Speciality Hospital,Mumbai,Tier-1,Urology,3.5,False,low,0.281,400050,19.016334,72.809093
14,Lokmanya Dermatology Clinic,Mumbai,Tier-1,Dermatology,4.0,False,medium,0.501,400101,19.007994,72.910977
15,Nanavati Dermatology Institute,Mumbai,Tier-1,Dermatology,4.4,True,high,0.912,400002,19.131056,72.849221
16,Lilavati Ophthalmology Institute,Mumbai,Tier-1,Ophthalmology,3.5,False,low,0.347,400001,18.935704,72.866322
17,Hinduja Gynaecology Institute,Mumbai,Tier-1,Gynaecology,3.0,False,low,0.088,400101,19.121885,72.878854
18,Kokilaben General Medicine Medical Center,Mumbai,Tier-1,General Medicine,3.6,False,medium,0.408,400020,19.123457,72.815552
19,Hiranandani Gynaecology Healthcare,Mumbai,Tier-1,Gynaecology,4.4,True,high,0.806,400070,18.984053,72.864211
20,Gurunanak General Medicine Medical Center,Mumbai,Tier-1,General Medicine,4.1,False,medium,0.655,400001,19.017885,72.876748
21,Shushrusha Orthopedics Healthcare,Mumbai,Tier-1,Orthopedics,4.5,True,high,0.831,400002,19.073762,72.88666
22,Balaji Ophthalmology Super Speciality Hospital,Mumbai,Tier-1,Ophthalmology,4.3,True,high,0.838,400005,19.093361,72.897965
23,Wadia Neurology Hospital,Mumbai,Tier-1,Neurology,3.5,False,medium,0.514,400005,19.051706,72.8417
24,KEM General Medicine Hospital,Mumbai,Tier-1,General Medicine,4.3,True,high,0.737,400002,18.981345,72.909301
25,Siddhivinayak Ophthalmology Hospital,Mumbai,Tier-1,Ophthalmology,4.0,True,medium,0.55,400101,18.917287,72.944789
